GEOID,Turnout_Rate,NAME,Male_Pop,Female_Pop,Total_Ethnicity,White_Non_Hispanic,Black_African_American,Asian,Hispanic_Latino,Other_race,Total_Commuters,Drove_Alone_to_Work,Public_Transportation_Users,Worked_From_Home,Total_Education_Population,High_School_Graduate,Bachelors_Degree,Graduate_Professional_Degree,Median_Household_Income,Total_Employed,Total_Unemployed
24005401000,0.54939759,Census Tract 4010; Baltimore County; Maryland,911,840,117,26,5,0,0,0,1076,799,7,2,1734,322,339,61,105139,1088,48
24005401101,0.425400458,Census Tract 4011.01; Baltimore County; Maryland,2037,1607,774,85,0,0,0,0,3239,2542,197,0,4065,901,365,26,79375,3239,210
24005401102,0.344522968,Census Tract 4011.02; Baltimore County; Maryland,272,228,123,2,0,0,0,0,399,349,7,0,599,52,90,0,48931,399,62
24005401200,0.438793103,Census Tract 4012; Baltimore County; Maryland,1392,1277,307,26,7,0,0,0,1791,1649,25,0,2437,630,109,0,73092,1823,147
24005401301,0.406918688,Census Tract 4013.01; Baltimore County; Maryland,1094,1031,353,12,0,0,0,0,1819,1418,145,0,2473,698,229,0,63056,1850,117
24005401302,0.427152318,Census Tract 4013.02; Baltimore County; Maryland,1246,1186,89,13,0,0,0,0,1643,1316,138,0,2359,598,249,0,59255,1643,126
24005401400,0.62247191,Census Tract 4014; Baltimore County; Maryland,573,528,167,24,0,0,0,0,908,663,11,0,1117,117,241,43,166250,908,45
24005401503,0.613346228,Census Tract 4015.03; Baltimore County; Maryland,2525,2272,714,151,0,0,0,0,3549,2683,58,0,4743,562,1184,64,120309,3570,173
24005401504,0.47395484,Census Tract 4015.04; Baltimore County; Maryland,2947,2073,1947,72,19,0,0,0,3255,2725,37,0,5088,1163,880,127,118036,3282,265
24005401505,0.45280236,Census Tract 4015.05; Baltimore County; Maryland,1674,1238,1087,19,19,0,0,0,1960,1694,0,0,3272,615,302,54,83796,2022,44
24005401506,0.405429864,Census Tract 4015.06; Baltimore County; Maryland,1439,1082,640,5,0,0,0,0,2548,2060,165,12,3321,561,439,16,80444,2610,93
24005401507,0.364442867,Census Tract 4015.07; Baltimore County; Maryland,2298,1190,1937,0,0,0,0,0,3049,2567,88,43,4345,828,650,48,72105,3207,112
24005402201,0.569615232,Census Tract 4022.01; Baltimore County; Maryland,1506,1396,385,11,0,0,0,0,1556,1303,29,0,2486,613,256,114,85920,1581,133
24005402202,0.591647332,Census Tract 4022.02; Baltimore County; Maryland,714,591,216,4,0,0,0,0,896,702,5,0,1191,216,220,8,141442,917,24
24005402302,0.482796892,Census Tract 4023.02; Baltimore County; Maryland,1877,1485,1133,0,0,0,0,0,2992,2590,44,0,3846,753,602,33,83851,3058,339
24005402303,0.472944184,Census Tract 4023.03; Baltimore County; Maryland,2527,2146,1028,130,130,120,0,0,3971,3121,241,0,4750,1106,465,0,90189,4018,262
